"","Special status","Taxon name","Introduced","Taxon family","Taxon parent","Volume"
"1","Illustrated","Abietinella abietina",NA,"Thuidiaceae","Abietinella","Volume 28"
"2","Introduced","Abutilon theophrasti","true","Malvaceae","Abutilon","Volume 6"
"3","Weedy","Abutilon theophrasti","true","Malvaceae","Abutilon","Volume 6"
"4","Weedy","Acalypha rhomboidea",NA,"Euphorbiaceae","Acalypha","Volume 12"
"5","Endemic","Acalypha rhomboidea",NA,"Euphorbiaceae","Acalypha","Volume 12"
"6","Illustrated","Acalypha rhomboidea",NA,"Euphorbiaceae","Acalypha","Volume 12"
"7","Endemic","Actaea pachypoda",NA,"Ranunculaceae","Actaea","Volume 3"
"8","Illustrated","Actaea pachypoda",NA,"Ranunculaceae","Actaea","Volume 3"
"9","Endemic","Actaea rubra",NA,"Ranunculaceae","Actaea","Volume 3"
"10","Weedy","Actaea rubra",NA,"Ranunculaceae","Actaea","Volume 3"
"11","Illustrated","Actaea rubra",NA,"Ranunculaceae","Actaea","Volume 3"
"12","Endemic","Adlumia fungosa",NA,"Fumariaceae","Adlumia","Volume 3"
"13","Illustrated","Adlumia fungosa",NA,"Fumariaceae","Adlumia","Volume 3"
"14","Endemic","Agalinis gattingeri",NA,"Orobanchaceae","Agalinis","Volume 17"
"15","Endemic","Agalinis purpurea var. parviflora",NA,"Orobanchaceae","Agalinis purpurea","Volume 17"
"16","Endemic","Agalinis purpurea var. purpurea",NA,"Orobanchaceae","Agalinis purpurea","Volume 17"
"17","Endemic","Agalinis skinneriana",NA,"Orobanchaceae","Agalinis","Volume 17"
"18","Endemic","Agalinis tenuifolia",NA,"Orobanchaceae","Agalinis","Volume 17"
"19","Illustrated","Agrimonia gryposepala",NA,"Rosaceae","Agrimonia","Volume 9"
"20","Illustrated","Agrimonia parviflora",NA,"Rosaceae","Agrimonia","Volume 9"
"21","Endemic","Agrimonia pubescens",NA,"Rosaceae","Agrimonia","Volume 9"
"22","Illustrated","Agrimonia pubescens",NA,"Rosaceae","Agrimonia","Volume 9"
"23","Illustrated","Agrimonia striata",NA,"Rosaceae","Agrimonia","Volume 9"
"24","Introduced","Alcea rosea","true","Malvaceae","Alcea","Volume 6"
"25","Weedy","Alcea rosea","true","Malvaceae","Alcea","Volume 6"
"26","Illustrated","Alcea rosea","true","Malvaceae","Alcea","Volume 6"
"27","Illustrated","Alchemilla filicaulis subsp. filicaulis",NA,"Rosaceae","Alchemilla filicaulis","Volume 9"
"28","Introduced","Alchemilla mollis","true","Rosaceae","Alchemilla","Volume 9"
"29","Introduced","Alchemilla monticola","true","Rosaceae","Alchemilla","Volume 9"
"30","Weedy","Alnus glutinosa",NA,"Betulaceae","Alnus","Volume 3"
"31","Endemic","Alnus incana subsp. rugosa",NA,"Betulaceae","Alnus incana","Volume 3"
"32","Weedy","Alnus incana subsp. rugosa",NA,"Betulaceae","Alnus incana","Volume 3"
"33","Endemic","Alnus viridis subsp. crispa",NA,"Betulaceae","Alnus viridis","Volume 3"
"34","Illustrated","Alnus viridis subsp. crispa",NA,"Betulaceae","Alnus viridis","Volume 3"
"35","Introduced","Althaea hirsuta","true","Malvaceae","Althaea","Volume 6"
"36","Introduced","Althaea officinalis","true","Malvaceae","Althaea","Volume 6"
"37","Illustrated","Althaea officinalis","true","Malvaceae","Althaea","Volume 6"
"38","Illustrated","Amblyodon dealbatus",NA,"Meesiaceae","Amblyodon","Volume 28"
"39","Illustrated","Amblystegium serpens",NA,"Amblystegiaceae","Amblystegium","Volume 28"
"40","Endemic","Amelanchier alnifolia var. alnifolia",NA,"Rosaceae","Amelanchier alnifolia","Volume 9"
"41","Endemic","Amelanchier amabilis",NA,"Rosaceae","Amelanchier","Volume 9"
"42","Endemic","Amelanchier arborea",NA,"Rosaceae","Amelanchier","Volume 9"
"43","Endemic","Amelanchier bartramiana",NA,"Rosaceae","Amelanchier","Volume 9"
"44","Endemic","Amelanchier humilis",NA,"Rosaceae","Amelanchier","Volume 9"
"45","Endemic","Amelanchier interior",NA,"Rosaceae","Amelanchier","Volume 9"
"46","Endemic","Amelanchier intermedia",NA,"Rosaceae","Amelanchier","Volume 9"
"47","Endemic","Amelanchier laevis",NA,"Rosaceae","Amelanchier","Volume 9"
"48","Illustrated","Amelanchier laevis",NA,"Rosaceae","Amelanchier","Volume 9"
"49","Endemic","Amelanchier sanguinea",NA,"Rosaceae","Amelanchier","Volume 9"
"50","Illustrated","Amelanchier sanguinea",NA,"Rosaceae","Amelanchier","Volume 9"
"51","Endemic","Amelanchier spicata",NA,"Rosaceae","Amelanchier","Volume 9"
"52","Illustrated","Amphidium lapponicum",NA,"Orthotrichaceae","Amphidium","Volume 28"
"53","Illustrated","Amphidium mougeotii",NA,"Orthotrichaceae","Amphidium","Volume 28"
"54","Illustrated","Anacamptodon splachnoides",NA,"Amblystegiaceae","Anacamptodon","Volume 28"
"55","Endemic","Anemone acutiloba",NA,"Ranunculaceae","Anemone","Volume 3"
"56","Illustrated","Anemone acutiloba",NA,"Ranunculaceae","Anemone","Volume 3"
"57","Endemic","Anemone americana",NA,"Ranunculaceae","Anemone","Volume 3"
"58","Illustrated","Anemone americana",NA,"Ranunculaceae","Anemone","Volume 3"
"59","Endemic","Anemone canadensis",NA,"Ranunculaceae","Anemone","Volume 3"
"60","Illustrated","Anemone canadensis",NA,"Ranunculaceae","Anemone","Volume 3"
"61","Endemic","Anemone cylindrica",NA,"Ranunculaceae","Anemone","Volume 3"
"62","Illustrated","Anemone multifida var. multifida",NA,"Ranunculaceae","Anemone multifida","Volume 3"
"63","Illustrated","Anemone parviflora",NA,"Ranunculaceae","Anemone","Volume 3"
"64","Illustrated","Anemone patens var. multifida",NA,"Ranunculaceae","Anemone patens","Volume 3"
"65","Endemic","Anemone quinquefolia var. quinquefolia",NA,"Ranunculaceae","Anemone quinquefolia","Volume 3"
"66","Illustrated","Anemone quinquefolia var. quinquefolia",NA,"Ranunculaceae","Anemone quinquefolia","Volume 3"
"67","Endemic","Anemone virginiana var. alba",NA,"Ranunculaceae","Anemone virginiana","Volume 3"
"68","Endemic","Anemone virginiana var. cylindroidea",NA,"Ranunculaceae","Anemone virginiana","Volume 3"
"69","Endemic","Anemone virginiana var. virginiana",NA,"Ranunculaceae","Anemone virginiana","Volume 3"
"70","Illustrated","Anemone virginiana var. virginiana",NA,"Ranunculaceae","Anemone virginiana","Volume 3"
"71","Weedy","Anoda cristata",NA,"Malvaceae","Anoda","Volume 6"
"72","Illustrated","Anomodon tristis",NA,"Anomodontaceae","Anomodon","Volume 28"
"73","Weedy","Antirrhinum majus","true","Plantaginaceae","Antirrhinum","Volume 17"
"74","Introduced","Antirrhinum majus","true","Plantaginaceae","Antirrhinum","Volume 17"
"75","Illustrated","Antirrhinum majus","true","Plantaginaceae","Antirrhinum","Volume 17"
"76","Endemic","Aquilegia brevistyla",NA,"Ranunculaceae","Aquilegia","Volume 3"
"77","Illustrated","Aquilegia brevistyla",NA,"Ranunculaceae","Aquilegia","Volume 3"
"78","Endemic","Aquilegia canadensis",NA,"Ranunculaceae","Aquilegia","Volume 3"
"79","Illustrated","Aquilegia canadensis",NA,"Ranunculaceae","Aquilegia","Volume 3"
"80","Weedy","Aquilegia vulgaris","true","Ranunculaceae","Aquilegia","Volume 3"
"81","Introduced","Aquilegia vulgaris","true","Ranunculaceae","Aquilegia","Volume 3"
"82","Endemic","Arceuthobium americanum",NA,"Viscaceae","Arceuthobium","Volume 12"
"83","Illustrated","Arceuthobium americanum",NA,"Viscaceae","Arceuthobium","Volume 12"
"84","Endemic","Arceuthobium pusillum",NA,"Viscaceae","Arceuthobium","Volume 12"
"85","Illustrated","Arceuthobium pusillum",NA,"Viscaceae","Arceuthobium","Volume 12"
"86","Weedy","Argemone mexicana",NA,"Papaveraceae","Argemone","Volume 3"
"87","Illustrated","Argemone mexicana",NA,"Papaveraceae","Argemone","Volume 3"
"88","Introduced","Aristolochia clematitis","true","Aristolochiaceae","Aristolochia","Volume 3"
"89","Endemic","Aristolochia macrophylla",NA,"Aristolochiaceae","Aristolochia","Volume 3"
"90","Illustrated","Aristolochia macrophylla",NA,"Aristolochiaceae","Aristolochia","Volume 3"
"91","Endemic","Aronia arbutifolia",NA,"Rosaceae","Aronia","Volume 9"
"92","Endemic","Aronia melanocarpa",NA,"Rosaceae","Aronia","Volume 9"
"93","Illustrated","Aronia melanocarpa",NA,"Rosaceae","Aronia","Volume 9"
"94","Illustrated","Arrhenopterum heterostichum",NA,"Aulacomniaceae","Arrhenopterum","Volume 28"
"95","Introduced","Aruncus dioicus var. vulgaris","true","Rosaceae","Aruncus dioicus","Volume 9"
"96","Endemic","Asarum canadense",NA,"Aristolochiaceae","Asarum","Volume 3"
"97","Illustrated","Asarum canadense",NA,"Aristolochiaceae","Asarum","Volume 3"
"98","Endemic","Asimina triloba",NA,"Annonaceae","Asimina","Volume 3"
"99","Weedy","Asimina triloba",NA,"Annonaceae","Asimina","Volume 3"
"100","Illustrated","Asimina triloba",NA,"Annonaceae","Asimina","Volume 3"
"101","Endemic","Aulacomnium androgynum",NA,"Aulacomniaceae","Aulacomnium","Volume 28"
"102","Illustrated","Aulacomnium androgynum",NA,"Aulacomniaceae","Aulacomnium","Volume 28"
"103","Illustrated","Aulacomnium palustre",NA,"Aulacomniaceae","Aulacomnium","Volume 28"
"104","Illustrated","Aulacomnium turgidum",NA,"Aulacomniaceae","Aulacomnium","Volume 28"
"105","Endemic","Aureolaria flava",NA,"Orobanchaceae","Aureolaria","Volume 17"
"106","Endemic","Aureolaria grandiflora",NA,"Orobanchaceae","Aureolaria","Volume 17"
"107","Endemic","Aureolaria pedicularia",NA,"Orobanchaceae","Aureolaria","Volume 17"
"108","Endemic","Aureolaria virginica",NA,"Orobanchaceae","Aureolaria","Volume 17"
"109","Illustrated","Aureolaria virginica",NA,"Orobanchaceae","Aureolaria","Volume 17"
"110","Illustrated","Bartramia pomiformis",NA,"Bartramiaceae","Bartramia","Volume 28"
"111","Illustrated","Bartsia alpina",NA,"Orobanchaceae","Bartsia","Volume 17"
"112","Weedy","Berberis thunbergii","true","Berberidaceae","Berberis","Volume 3"
"113","Introduced","Berberis thunbergii","true","Berberidaceae","Berberis","Volume 3"
"114","Weedy","Berberis vulgaris","true","Berberidaceae","Berberis","Volume 3"
"115","Introduced","Berberis vulgaris","true","Berberidaceae","Berberis","Volume 3"
"116","Endemic","Betula alleghaniensis",NA,"Betulaceae","Betula","Volume 3"
"117","Illustrated","Betula alleghaniensis",NA,"Betulaceae","Betula","Volume 3"
"118","Endemic","Betula cordifolia",NA,"Betulaceae","Betula","Volume 3"
"119","Endemic","Betula glandulosa",NA,"Betulaceae","Betula","Volume 3"
"120","Illustrated","Betula glandulosa",NA,"Betulaceae","Betula","Volume 3"
"121","Endemic","Betula lenta",NA,"Betulaceae","Betula","Volume 3"
"122","Endemic","Betula minor",NA,"Betulaceae","Betula","Volume 3"
"123","Endemic","Betula neoalaskana",NA,"Betulaceae","Betula","Volume 3"
"124","Endemic","Betula occidentalis",NA,"Betulaceae","Betula","Volume 3"
"125","Illustrated","Betula occidentalis",NA,"Betulaceae","Betula","Volume 3"
"126","Endemic","Betula papyrifera",NA,"Betulaceae","Betula","Volume 3"
"127","Illustrated","Betula papyrifera",NA,"Betulaceae","Betula","Volume 3"
"128","Endemic","Betula populifolia",NA,"Betulaceae","Betula","Volume 3"
"129","Weedy","Betula populifolia",NA,"Betulaceae","Betula","Volume 3"
"130","Illustrated","Betula populifolia",NA,"Betulaceae","Betula","Volume 3"
"131","Endemic","Betula pumila",NA,"Betulaceae","Betula","Volume 3"
"132","Illustrated","Boehmeria cylindrica",NA,"Urticaceae","Boehmeria","Volume 3"
"133","Illustrated","Brachytheciastrum velutinum var. velutinum",NA,"Brachytheciaceae","Brachytheciastrum velutinum","Volume 28"
"134","Endemic","Brachythecium acuminatum",NA,"Brachytheciaceae","Brachythecium","Volume 28"
"135","Endemic","Brachythecium acutum",NA,"Brachytheciaceae","Brachythecium","Volume 28"
"136","Illustrated","Brachythecium rotaeanum",NA,"Brachytheciaceae","Brachythecium","Volume 28"
"137","Illustrated","Brachythecium rutabulum",NA,"Brachytheciaceae","Brachythecium","Volume 28"
"138","Weedy","Brasenia schreberi",NA,"Cabombaceae","Brasenia","Volume 3"
"139","Illustrated","Brasenia schreberi",NA,"Cabombaceae","Brasenia","Volume 3"
"140","Endemic","Brotherella recurvans",NA,"Sematophyllaceae","Brotherella","Volume 28"
"141","Endemic","Bryhnia graminicolor",NA,"Brachytheciaceae","Bryhnia","Volume 28"
"142","Illustrated","Bryhnia graminicolor",NA,"Brachytheciaceae","Bryhnia","Volume 28"
"143","Illustrated","Bryhnia novae-angliae",NA,"Brachytheciaceae","Bryhnia","Volume 28"
"144","Endemic","Bryoandersonia illecebra",NA,"Brachytheciaceae","Bryoandersonia","Volume 28"
"145","Illustrated","Bryoandersonia illecebra",NA,"Brachytheciaceae","Bryoandersonia","Volume 28"
"146","Illustrated","Bryum argenteum var. argenteum",NA,"Bryaceae","Bryum argenteum","Volume 28"
"147","Illustrated","Bryum veronense",NA,"Bryaceae","Bryum","Volume 28"
"148","Endemic","Buchnera americana",NA,"Orobanchaceae","Buchnera","Volume 17"
"149","Weedy","Buddleja davidii","true","Scrophulariaceae","Buddleja","Volume 17"
"150","Introduced","Buddleja davidii","true","Scrophulariaceae","Buddleja","Volume 17"
"151","Weedy","Cabomba caroliniana",NA,"Cabombaceae","Cabomba","Volume 3"
"152","Illustrated","Cabomba caroliniana",NA,"Cabombaceae","Cabomba","Volume 3"
"153","Illustrated","Callicladium haldanianum",NA,"Hypnaceae","Callicladium","Volume 28"
"154","Illustrated","Calliergon cordifolium",NA,"Calliergonaceae","Calliergon","Volume 28"
"155","Illustrated","Calliergon giganteum",NA,"Calliergonaceae","Calliergon","Volume 28"
"156","Illustrated","Calliergonella cuspidata",NA,"Amblystegiaceae","Calliergonella","Volume 28"
"157","Illustrated","Callitriche hermaphroditica",NA,"Plantaginaceae","Callitriche","Volume 17"
"158","Illustrated","Callitriche heterophylla",NA,"Plantaginaceae","Callitriche","Volume 17"
"159","Endemic","Callitriche stenoptera",NA,"Plantaginaceae","Callitriche","Volume 17"
"160","Illustrated","Caltha natans",NA,"Ranunculaceae","Caltha","Volume 3"
"161","Illustrated","Campyliadelphus chrysophyllus",NA,"Amblystegiaceae","Campyliadelphus","Volume 28"
"162","Illustrated","Campylium stellatum",NA,"Amblystegiaceae","Campylium","Volume 28"
"163","Illustrated","Campylophyllum hispidulum",NA,"Amblystegiaceae","Campylophyllum","Volume 28"
"164","Endemic","Carpinus caroliniana subsp. virginiana",NA,"Betulaceae","Carpinus caroliniana","Volume 3"
"165","Illustrated","Carpinus caroliniana subsp. virginiana",NA,"Betulaceae","Carpinus caroliniana","Volume 3"
"166","Endemic","Carya cordiformis",NA,"Juglandaceae","Carya","Volume 3"
"167","Illustrated","Carya cordiformis",NA,"Juglandaceae","Carya","Volume 3"
"168","Endemic","Carya glabra",NA,"Juglandaceae","Carya","Volume 3"
"169","Weedy","Carya glabra",NA,"Juglandaceae","Carya","Volume 3"
"170","Endemic","Carya laciniosa",NA,"Juglandaceae","Carya","Volume 3"
"171","Endemic","Carya ovata var. ovata",NA,"Juglandaceae","Carya ovata","Volume 3"
"172","Illustrated","Carya ovata var. ovata",NA,"Juglandaceae","Carya ovata","Volume 3"
"173","Endemic","Castanea dentata",NA,"Fagaceae","Castanea","Volume 3"
"174","Endemic","Castilleja coccinea",NA,"Orobanchaceae","Castilleja","Volume 17"
"175","Illustrated","Castilleja coccinea",NA,"Orobanchaceae","Castilleja","Volume 17"
"176","Endemic","Castilleja miniata var. miniata",NA,"Orobanchaceae","Castilleja miniata","Volume 17"
"177","Illustrated","Castilleja miniata var. miniata",NA,"Orobanchaceae","Castilleja miniata","Volume 17"
"178","Endemic","Castilleja raupii",NA,"Orobanchaceae","Castilleja","Volume 17"
"179","Endemic","Castilleja septentrionalis",NA,"Orobanchaceae","Castilleja","Volume 17"
"180","Illustrated","Castilleja septentrionalis",NA,"Orobanchaceae","Castilleja","Volume 17"
"181","Illustrated","Catoscopium nigritum",NA,"Catoscopiaceae","Catoscopium","Volume 28"
"182","Endemic","Caulophyllum giganteum",NA,"Berberidaceae","Caulophyllum","Volume 3"
"183","Endemic","Caulophyllum thalictroides",NA,"Berberidaceae","Caulophyllum","Volume 3"
"184","Illustrated","Caulophyllum thalictroides",NA,"Berberidaceae","Caulophyllum","Volume 3"
"185","Endemic","Ceanothus americanus",NA,"Rhamnaceae","Ceanothus subg. Ceanothus","Volume 12"
"186","Illustrated","Ceanothus americanus",NA,"Rhamnaceae","Ceanothus subg. Ceanothus","Volume 12"
"187","Weedy","Celastrus orbiculatus","true","Celastraceae","Celastrus","Volume 12"
"188","Introduced","Celastrus orbiculatus","true","Celastraceae","Celastrus","Volume 12"
"189","Endemic","Celastrus scandens",NA,"Celastraceae","Celastrus","Volume 12"
"190","Illustrated","Celastrus scandens",NA,"Celastraceae","Celastrus","Volume 12"
"191","Illustrated","Celtis occidentalis",NA,"Ulmaceae","Celtis","Volume 3"
"192","Endemic","Celtis tenuifolia",NA,"Ulmaceae","Celtis","Volume 3"
"193","Weedy","Ceratophyllum demersum",NA,"Ceratophyllaceae","Ceratophyllum","Volume 3"
"194","Endemic","Ceratophyllum echinatum",NA,"Ceratophyllaceae","Ceratophyllum","Volume 3"
"195","Weedy","Ceratophyllum echinatum",NA,"Ceratophyllaceae","Ceratophyllum","Volume 3"
"196","Illustrated","Ceratophyllum echinatum",NA,"Ceratophyllaceae","Ceratophyllum","Volume 3"
"197","Weedy","Chaenorhinum minus subsp. minus","true","Plantaginaceae","Chaenorhinum minus","Volume 17"
"198","Introduced","Chaenorhinum minus subsp. minus","true","Plantaginaceae","Chaenorhinum minus","Volume 17"
"199","Illustrated","Chaenorhinum minus subsp. minus","true","Plantaginaceae","Chaenorhinum minus","Volume 17"
"200","Illustrated","Chamaerhodos erecta",NA,"Rosaceae","Chamaerhodos","Volume 9"
"201","Weedy","Chelidonium majus","true","Papaveraceae","Chelidonium","Volume 3"
"202","Introduced","Chelidonium majus","true","Papaveraceae","Chelidonium","Volume 3"
"203","Illustrated","Chelidonium majus","true","Papaveraceae","Chelidonium","Volume 3"
"204","Endemic","Chelone glabra",NA,"Plantaginaceae","Chelone","Volume 17"
"205","Illustrated","Chelone glabra",NA,"Plantaginaceae","Chelone","Volume 17"
"206","Endemic","Cimicifuga racemosa",NA,"Ranunculaceae","Cimicifuga","Volume 3"
"207","Weedy","Cimicifuga racemosa",NA,"Ranunculaceae","Cimicifuga","Volume 3"
"208","Illustrated","Cinclidium stygium",NA,"Mniaceae","Cinclidium","Volume 28"
"209","Illustrated","Cirriphyllum piliferum",NA,"Brachytheciaceae","Cirriphyllum","Volume 28"
"210","Endemic","Clematis occidentalis var. occidentalis",NA,"Ranunculaceae","Clematis occidentalis","Volume 3"
"211","Introduced","Clematis orientalis","true","Ranunculaceae","Clematis subg. Clematis","Volume 3"
"212","Illustrated","Clematis orientalis","true","Ranunculaceae","Clematis subg. Clematis","Volume 3"
"213","Introduced","Clematis recta","true","Ranunculaceae","Clematis subg. Clematis","Volume 3"
"214","Introduced","Clematis terniflora","true","Ranunculaceae","Clematis subg. Clematis","Volume 3"
"215","Endemic","Clematis virginiana",NA,"Ranunculaceae","Clematis subg. Clematis","Volume 3"
"216","Introduced","Clematis vitalba","true","Ranunculaceae","Clematis subg. Clematis","Volume 3"
"217","Introduced","Clematis viticella","true","Ranunculaceae","Clematis subg. Viticella","Volume 3"
"218","Illustrated","Clematis viticella","true","Ranunculaceae","Clematis subg. Viticella","Volume 3"
"219","Illustrated","Climacium americanum",NA,"Climaciaceae","Climacium","Volume 28"
"220","Illustrated","Climacium dendroides",NA,"Climaciaceae","Climacium","Volume 28"
"221","Endemic","Collinsia parviflora",NA,"Plantaginaceae","Collinsia","Volume 17"
"222","Illustrated","Collinsia parviflora",NA,"Plantaginaceae","Collinsia","Volume 17"
"223","Endemic","Collinsia verna",NA,"Plantaginaceae","Collinsia","Volume 17"
"224","Endemic","Comandra umbellata subsp. umbellata",NA,"Comandraceae","Comandra umbellata","Volume 12"
"225","Illustrated","Comandra umbellata subsp. umbellata",NA,"Comandraceae","Comandra umbellata","Volume 12"
"226","Illustrated","Comarum palustre",NA,"Rosaceae","Comarum","Volume 9"
"227","Endemic","Comptonia peregrina",NA,"Myricaceae","Comptonia","Volume 3"
"228","Weedy","Comptonia peregrina",NA,"Myricaceae","Comptonia","Volume 3"
"229","Illustrated","Comptonia peregrina",NA,"Myricaceae","Comptonia","Volume 3"
"230","Illustrated","Conardia compacta",NA,"Amblystegiaceae","Conardia","Volume 28"
"231","Introduced","Consolida ajacis","true","Ranunculaceae","Consolida","Volume 3"
"232","Illustrated","Consolida ajacis","true","Ranunculaceae","Consolida","Volume 3"
"233","Introduced","Consolida regalis","true","Ranunculaceae","Consolida","Volume 3"
"234","Illustrated","Consolida regalis","true","Ranunculaceae","Consolida","Volume 3"
"235","Weedy","Coptis trifolia",NA,"Ranunculaceae","Coptis","Volume 3"
"236","Illustrated","Coptis trifolia",NA,"Ranunculaceae","Coptis","Volume 3"
"237","Endemic","Cornus alternifolia",NA,"Cornaceae","Cornus subg. Mesomora","Volume 12"
"238","Weedy","Cornus canadensis",NA,"Cornaceae","Cornus subg. Arctocrania","Volume 12"
"239","Illustrated","Cornus canadensis",NA,"Cornaceae","Cornus subg. Arctocrania","Volume 12"
"240","Endemic","Cornus drummondii",NA,"Cornaceae","Cornus subg. Thelycrania","Volume 12"
"241","Weedy","Cornus florida",NA,"Cornaceae","Cornus subg. Cynoxylon","Volume 12"
"242","Illustrated","Cornus florida",NA,"Cornaceae","Cornus subg. Cynoxylon","Volume 12"
"243","Endemic","Cornus obliqua",NA,"Cornaceae","Cornus subg. Thelycrania","Volume 12"
"244","Endemic","Cornus racemosa",NA,"Cornaceae","Cornus subg. Thelycrania","Volume 12"
"245","Endemic","Cornus rugosa",NA,"Cornaceae","Cornus subg. Thelycrania","Volume 12"
"246","Illustrated","Cornus sericea",NA,"Cornaceae","Cornus subg. Thelycrania","Volume 12"
"247","Illustrated","Corydalis aurea subsp. aurea",NA,"Fumariaceae","Corydalis aurea","Volume 3"
"248","Endemic","Corydalis flavula",NA,"Fumariaceae","Corydalis","Volume 3"
"249","Endemic","Corydalis sempervirens",NA,"Fumariaceae","Corydalis","Volume 3"
"250","Weedy","Corydalis sempervirens",NA,"Fumariaceae","Corydalis","Volume 3"
"251","Illustrated","Corydalis sempervirens",NA,"Fumariaceae","Corydalis","Volume 3"
"252","Endemic","Corylus americana",NA,"Betulaceae","Corylus","Volume 3"
"253","Illustrated","Corylus americana",NA,"Betulaceae","Corylus","Volume 3"
"254","Endemic","Corylus cornuta subsp. cornuta",NA,"Betulaceae","Corylus cornuta","Volume 3"
"255","Illustrated","Corylus cornuta subsp. cornuta",NA,"Betulaceae","Corylus cornuta","Volume 3"
"256","Introduced","Cotoneaster divaricatus","true","Rosaceae","Cotoneaster","Volume 9"
"257","Illustrated","Cotoneaster divaricatus","true","Rosaceae","Cotoneaster","Volume 9"
"258","Introduced","Cotoneaster lucidus","true","Rosaceae","Cotoneaster","Volume 9"
"259","Illustrated","Cotoneaster lucidus","true","Rosaceae","Cotoneaster","Volume 9"
"260","Endemic","Crataegus beata",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Populneae","Volume 9"
"261","Endemic","Crataegus brainerdii",NA,"Rosaceae","Crataegus (sect. Macracanthae) ser. Anomalae","Volume 9"
"262","Endemic","Crataegus calpodendron",NA,"Rosaceae","Crataegus (sect. Macracanthae) ser. Macracanthae","Volume 9"
"263","Endemic","Crataegus chrysocarpa var. chrysocarpa",NA,"Rosaceae","Crataegus chrysocarpa","Volume 9"
"264","Endemic","Crataegus chrysocarpa var. phoeniceoides",NA,"Rosaceae","Crataegus chrysocarpa","Volume 9"
"265","Endemic","Crataegus chrysocarpa var. subrotundifolia",NA,"Rosaceae","Crataegus chrysocarpa","Volume 9"
"266","Endemic","Crataegus chrysocarpa var. vigintistamina",NA,"Rosaceae","Crataegus chrysocarpa","Volume 9"
"267","Endemic","Crataegus coccinea var. coccinea",NA,"Rosaceae","Crataegus coccinea","Volume 9"
"268","Endemic","Crataegus coccinea var. fulleriana",NA,"Rosaceae","Crataegus coccinea","Volume 9"
"269","Endemic","Crataegus coccinea var. pringlei",NA,"Rosaceae","Crataegus coccinea","Volume 9"
"270","Endemic","Crataegus coccinioides",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Dilatatae","Volume 9"
"271","Endemic","Crataegus cognata",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Pruinosae","Volume 9"
"272","Endemic","Crataegus compacta",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Pruinosae","Volume 9"
"273","Endemic","Crataegus crus-galli var. crus-galli",NA,"Rosaceae","Crataegus crus-galli","Volume 9"
"274","Endemic","Crataegus dodgei",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Rotundifoliae","Volume 9"
"275","Illustrated","Crataegus dodgei",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Rotundifoliae","Volume 9"
"276","Endemic","Crataegus douglasii",NA,"Rosaceae","Crataegus (sect. Douglasia) ser. Douglasianae","Volume 9"
"277","Illustrated","Crataegus douglasii",NA,"Rosaceae","Crataegus (sect. Douglasia) ser. Douglasianae","Volume 9"
"278","Endemic","Crataegus flabellata",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Tenuifoliae","Volume 9"
"279","Endemic","Crataegus florifera",NA,"Rosaceae","Crataegus (sect. Macracanthae) ser. Anomalae","Volume 9"
"280","Endemic","Crataegus fluviatilis",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Tenuifoliae","Volume 9"
"281","Conservation concern","Crataegus formosa",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Pruinosae","Volume 9"
"282","Endemic","Crataegus formosa",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Pruinosae","Volume 9"
"283","Endemic","Crataegus holmesiana",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Coccineae","Volume 9"
"284","Endemic","Crataegus intricata",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Intricatae","Volume 9"
"285","Endemic","Crataegus irrasa",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Rotundifoliae","Volume 9"
"286","Conservation concern","Crataegus jesupii",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Populneae","Volume 9"
"287","Endemic","Crataegus jesupii",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Populneae","Volume 9"
"288","Endemic","Crataegus lumaria",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Rotundifoliae","Volume 9"
"289","Endemic","Crataegus macracantha",NA,"Rosaceae","Crataegus (sect. Macracanthae) ser. Macracanthae","Volume 9"
"290","Illustrated","Crataegus macracantha",NA,"Rosaceae","Crataegus (sect. Macracanthae) ser. Macracanthae","Volume 9"
"291","Endemic","Crataegus macrosperma",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Tenuifoliae","Volume 9"
"292","Endemic","Crataegus magniflora",NA,"Rosaceae","Crataegus (sect. Coccineae) ser. Coccineae","Volume 9"
"293","Conservation concern","Crataegus margarettae var. angustifolia",NA,"Rosaceae","Crataegus margarettae","Volume 9"
"294","Endemic","Crataegus margarettae var. angustifolia",NA,"Rosaceae","Crataegus margarettae","Volume 9"
"295","Endemic","Crataegus margarettae var. margarettae",NA,"Rosaceae","Crataegus margarettae","Volume 9"
"296","Endemic","Crataegus mollis var. incisifolia",NA,"Rosaceae","Crataegus mollis","Volume 9"
