"","Special status","Taxon name","Introduced","Taxon family","Taxon parent","Volume"
"2101",NA,"Cynodontium schisti",NA,"Dicranaceae","Cynodontium","Volume 27"
"2102",NA,"Cynodontium strumiferum",NA,"Dicranaceae","Cynodontium","Volume 27"
"2103",NA,"Cynodontium tenellum",NA,"Dicranaceae","Cynodontium","Volume 27"
"2104",NA,"Cynosurus",NA,"Poaceae","Poaceae tribe Poeae","Volume 24"
"2105",NA,"Cynosurus cristatus",NA,"Poaceae","Cynosurus","Volume 24"
"2106",NA,"Cyperus bipartitus",NA,"Cyperaceae","Cyperus subg. Pycreus","Volume 23"
"2107",NA,"Cyperus dentatus",NA,"Cyperaceae","Cyperus subg. Pycnostachys","Volume 23"
"2108",NA,"Cyperus diandrus",NA,"Cyperaceae","Cyperus subg. Pycreus","Volume 23"
"2109",NA,"Cyperus erythrorhizos",NA,"Cyperaceae","Cyperus subg. Cyperus","Volume 23"
"2110",NA,"Cyperus flavescens",NA,"Cyperaceae","Cyperus subg. Pycreus","Volume 23"
"2111",NA,"Cyperus houghtonii",NA,"Cyperaceae","Cyperus subg. Cyperus","Volume 23"
"2112",NA,"Cyperus lupulinus",NA,"Cyperaceae","Cyperus subg. Cyperus","Volume 23"
"2113",NA,"Cyperus odoratus",NA,"Cyperaceae","Cyperus subg. Diclidium","Volume 23"
"2114",NA,"Cyperus schweinitzii",NA,"Cyperaceae","Cyperus subg. Cyperus","Volume 23"
"2115",NA,"Cyperus squarrosus",NA,"Cyperaceae","Cyperus subg. Cyperus","Volume 23"
"2116",NA,"Cyperus strigosus",NA,"Cyperaceae","Cyperus subg. Cyperus","Volume 23"
"2117",NA,"Cypripedium acaule",NA,"Orchidaceae","Cypripedium","Volume 26"
"2118",NA,"Cypripedium arietinum",NA,"Orchidaceae","Cypripedium","Volume 26"
"2119",NA,"Cypripedium candidum",NA,"Orchidaceae","Cypripedium","Volume 26"
"2120",NA,"Cypripedium parviflorum var. makasin",NA,"Orchidaceae","Cypripedium parviflorum","Volume 26"
"2121",NA,"Cypripedium parviflorum var. pubescens",NA,"Orchidaceae","Cypripedium parviflorum","Volume 26"
"2122",NA,"Cypripedium passerinum",NA,"Orchidaceae","Cypripedium","Volume 26"
"2123",NA,"Cypripedium reginae",NA,"Orchidaceae","Cypripedium","Volume 26"
"2124",NA,"Cyrto-hypnum minutulum",NA,"Thuidiaceae","Cyrto-hypnum","Volume 28"
"2125",NA,"Cyrto-hypnum pygmaeum",NA,"Thuidiaceae","Cyrto-hypnum","Volume 28"
"2126",NA,"Cystopteris bulbifera",NA,"Dryopteridaceae","Cystopteris","Volume 2"
"2127",NA,"Cystopteris fragilis",NA,"Dryopteridaceae","Cystopteris","Volume 2"
"2128",NA,"Cystopteris laurentiana",NA,"Dryopteridaceae","Cystopteris","Volume 2"
"2129",NA,"Cystopteris montana",NA,"Dryopteridaceae","Cystopteris","Volume 2"
"2130",NA,"Cystopteris protrusa",NA,"Dryopteridaceae","Cystopteris","Volume 2"
"2131",NA,"Cystopteris tenuis",NA,"Dryopteridaceae","Cystopteris","Volume 2"
"2132",NA,"Dactylis",NA,"Poaceae","Poaceae tribe Poeae","Volume 24"
"2133",NA,"Dactylis glomerata",NA,"Poaceae","Dactylis","Volume 24"
"2134",NA,"Danthonia",NA,"Poaceae","Poaceae tribe Danthonieae","Volume 25"
"2135",NA,"Danthonia compressa",NA,"Poaceae","Danthonia","Volume 25"
"2136",NA,"Danthonia intermedia",NA,"Poaceae","Danthonia","Volume 25"
"2137",NA,"Danthonia spicata",NA,"Poaceae","Danthonia","Volume 25"
"2138",NA,"Dennstaedtia punctilobula",NA,"Dennstaedtiaceae","Dennstaedtia","Volume 2"
"2139",NA,"Deparia acrostichoides",NA,"Dryopteridaceae","Deparia","Volume 2"
"2140",NA,"Deschampsia",NA,"Poaceae","Poaceae tribe Poeae","Volume 24"
"2141",NA,"Deschampsia cespitosa",NA,"Poaceae","Deschampsia","Volume 24"
"2142",NA,"Deschampsia cespitosa subsp. beringensis",NA,"Poaceae","Deschampsia cespitosa","Volume 24"
"2143",NA,"Deschampsia cespitosa subsp. cespitosa",NA,"Poaceae","Deschampsia cespitosa","Volume 24"
"2144",NA,"Deschampsia cespitosa subsp. holciformis",NA,"Poaceae","Deschampsia cespitosa","Volume 24"
"2145",NA,"Deschampsia flexuosa",NA,"Poaceae","Deschampsia","Volume 24"
"2146",NA,"Deschampsia mackenzieana",NA,"Poaceae","Deschampsia","Volume 24"
"2147",NA,"Deschampsia sukatschewii",NA,"Poaceae","Deschampsia","Volume 24"
"2148",NA,"Descurainia incana",NA,"Brassicaceae","Descurainia","Volume 7"
"2149",NA,"Descurainia pinnata subsp. brachycarpa",NA,"Brassicaceae","Descurainia pinnata","Volume 7"
"2150",NA,"Diarrhena",NA,"Poaceae","Poaceae tribe Diarrheneae","Volume 24"
"2151",NA,"Diarrhena obovata",NA,"Poaceae","Diarrhena","Volume 24"
"2152",NA,"Dichanthelium",NA,"Poaceae","Poaceae tribe Paniceae","Volume 25"
"2153",NA,"Dichanthelium acuminatum",NA,"Poaceae","Dichanthelium sect. Lanuginosa","Volume 25"
"2154",NA,"Dichanthelium acuminatum subsp. acuminatum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2155",NA,"Dichanthelium acuminatum subsp. columbianum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2156",NA,"Dichanthelium acuminatum subsp. fasciculatum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2157",NA,"Dichanthelium acuminatum subsp. implicatum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2158",NA,"Dichanthelium acuminatum subsp. leucothrix",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2159",NA,"Dichanthelium acuminatum subsp. lindheimeri",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2160",NA,"Dichanthelium acuminatum subsp. longiligulatum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2161",NA,"Dichanthelium acuminatum subsp. sericeum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2162",NA,"Dichanthelium acuminatum subsp. spretum",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2163",NA,"Dichanthelium acuminatum subsp. thermale",NA,"Poaceae","Dichanthelium acuminatum","Volume 25"
"2164",NA,"Dichanthelium boreale",NA,"Poaceae","Dichanthelium sect. Dichanthelium","Volume 25"
"2165",NA,"Dichanthelium chamaelonche",NA,"Poaceae","Dichanthelium sect. Ensifolia","Volume 25"
"2166",NA,"Dichanthelium chamaelonche subsp. breve",NA,"Poaceae","Dichanthelium chamaelonche","Volume 25"
"2167",NA,"Dichanthelium chamaelonche subsp. chamaelonche",NA,"Poaceae","Dichanthelium chamaelonche","Volume 25"
"2168",NA,"Dichanthelium clandestinum",NA,"Poaceae","Dichanthelium sect. Clandestina","Volume 25"
"2169",NA,"Dichanthelium depauperatum",NA,"Poaceae","Dichanthelium sect. Linearifolia","Volume 25"
"2170",NA,"Dichanthelium dichotomum",NA,"Poaceae","Dichanthelium sect. Dichanthelium","Volume 25"
"2171",NA,"Dichanthelium dichotomum subsp. dichotomum",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2172",NA,"Dichanthelium dichotomum subsp. lucidum",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2173",NA,"Dichanthelium dichotomum subsp. mattamuskeetense",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2174",NA,"Dichanthelium dichotomum subsp. microcarpon",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2175",NA,"Dichanthelium dichotomum subsp. nitidum",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2176",NA,"Dichanthelium dichotomum subsp. roanokense",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2177",NA,"Dichanthelium dichotomum subsp. yadkinense",NA,"Poaceae","Dichanthelium dichotomum","Volume 25"
"2178",NA,"Dichanthelium ensifolium",NA,"Poaceae","Dichanthelium sect. Ensifolia","Volume 25"
"2179",NA,"Dichanthelium ensifolium subsp. curtifolium",NA,"Poaceae","Dichanthelium ensifolium","Volume 25"
"2180",NA,"Dichanthelium ensifolium subsp. ensifolium",NA,"Poaceae","Dichanthelium ensifolium","Volume 25"
"2181",NA,"Dichanthelium latifolium",NA,"Poaceae","Dichanthelium sect. Macrocarpa","Volume 25"
"2182",NA,"Dichanthelium leibergii",NA,"Poaceae","Dichanthelium sect. Macrocarpa","Volume 25"
"2183",NA,"Dichanthelium linearifolium",NA,"Poaceae","Dichanthelium sect. Linearifolia","Volume 25"
"2184",NA,"Dichanthelium nudicaule",NA,"Poaceae","Dichanthelium sect. Nudicaulia","Volume 25"
"2185",NA,"Dichanthelium oligosanthes",NA,"Poaceae","Dichanthelium sect. Oligosantha","Volume 25"
"2186",NA,"Dichanthelium oligosanthes subsp. oligosanthes",NA,"Poaceae","Dichanthelium oligosanthes","Volume 25"
"2187",NA,"Dichanthelium oligosanthes subsp. scribnerianum",NA,"Poaceae","Dichanthelium oligosanthes","Volume 25"
"2188",NA,"Dichanthelium perlongum",NA,"Poaceae","Dichanthelium sect. Linearifolia","Volume 25"
"2189",NA,"Dichanthelium polyanthes",NA,"Poaceae","Dichanthelium sect. Sphaerocarpa","Volume 25"
"2190",NA,"Dichanthelium portoricense",NA,"Poaceae","Dichanthelium sect. Lancearia","Volume 25"
"2191",NA,"Dichanthelium portoricense subsp. patulum",NA,"Poaceae","Dichanthelium portoricense","Volume 25"
"2192",NA,"Dichanthelium portoricense subsp. portoricense",NA,"Poaceae","Dichanthelium portoricense","Volume 25"
"2193",NA,"Dichanthelium sect. Angustifolia",NA,"Poaceae","Dichanthelium","Volume 25"
"2194",NA,"Dichanthelium sect. Clandestina",NA,"Poaceae","Dichanthelium","Volume 25"
"2195",NA,"Dichanthelium sect. Dichanthelium",NA,"Poaceae","Dichanthelium","Volume 25"
"2196",NA,"Dichanthelium sect. Ensifolia",NA,"Poaceae","Dichanthelium","Volume 25"
"2197",NA,"Dichanthelium sect. Lancearia",NA,"Poaceae","Dichanthelium","Volume 25"
"2198",NA,"Dichanthelium sect. Lanuginosa",NA,"Poaceae","Dichanthelium","Volume 25"
"2199",NA,"Dichanthelium sect. Linearifolia",NA,"Poaceae","Dichanthelium","Volume 25"
"2200",NA,"Dichanthelium sect. Macrocarpa",NA,"Poaceae","Dichanthelium","Volume 25"
"2201",NA,"Dichanthelium sect. Nudicaulia",NA,"Poaceae","Dichanthelium","Volume 25"
"2202",NA,"Dichanthelium sect. Oligosantha",NA,"Poaceae","Dichanthelium","Volume 25"
"2203",NA,"Dichanthelium sect. Pedicellata",NA,"Poaceae","Dichanthelium","Volume 25"
"2204",NA,"Dichanthelium sect. Sphaerocarpa",NA,"Poaceae","Dichanthelium","Volume 25"
"2205",NA,"Dichanthelium sect. Strigosa",NA,"Poaceae","Dichanthelium","Volume 25"
"2206",NA,"Dichanthelium sphaerocarpon",NA,"Poaceae","Dichanthelium sect. Sphaerocarpa","Volume 25"
"2207",NA,"Dichanthelium tenue",NA,"Poaceae","Dichanthelium sect. Ensifolia","Volume 25"
"2208",NA,"Dichanthelium ×anthophysum",NA,"Poaceae","Dichanthelium sect. Macrocarpa","Volume 25"
"2209",NA,"Dichelyma falcatum",NA,"Fontinalaceae","Dichelyma","Volume 28"
"2210",NA,"Dichodontium pellucidum",NA,"Dicranaceae","Dichodontium","Volume 27"
"2211",NA,"Dicranella cerviculata",NA,"Dicranaceae","Dicranella","Volume 27"
"2212",NA,"Dicranella crispa",NA,"Dicranaceae","Dicranella","Volume 27"
"2213",NA,"Dicranella heteromalla",NA,"Dicranaceae","Dicranella","Volume 27"
"2214",NA,"Dicranella schreberiana",NA,"Dicranaceae","Dicranella","Volume 27"
"2215",NA,"Dicranella varia",NA,"Dicranaceae","Dicranella","Volume 27"
"2216",NA,"Dicranoweisia crispula",NA,"Dicranaceae","Dicranoweisia","Volume 27"
"2217",NA,"Dicranum acutifolium",NA,"Dicranaceae","Dicranum","Volume 27"
"2218",NA,"Dicranum bonjeanii",NA,"Dicranaceae","Dicranum","Volume 27"
"2219",NA,"Dicranum brevifolium",NA,"Dicranaceae","Dicranum","Volume 27"
"2220",NA,"Dicranum elongatum",NA,"Dicranaceae","Dicranum","Volume 27"
"2221",NA,"Dicranum flagellare",NA,"Dicranaceae","Dicranum","Volume 27"
"2222",NA,"Dicranum fragilifolium",NA,"Dicranaceae","Dicranum","Volume 27"
"2223",NA,"Dicranum fulvum",NA,"Dicranaceae","Dicranum","Volume 27"
"2224",NA,"Dicranum fuscescens var. fuscescens",NA,"Dicranaceae","Dicranum fuscescens","Volume 27"
"2225",NA,"Dicranum groenlandicum",NA,"Dicranaceae","Dicranum","Volume 27"
"2226",NA,"Dicranum leioneuron",NA,"Dicranaceae","Dicranum","Volume 27"
"2227",NA,"Dicranum majus var. majus",NA,"Dicranaceae","Dicranum majus","Volume 27"
"2228",NA,"Dicranum montanum",NA,"Dicranaceae","Dicranum","Volume 27"
"2229",NA,"Dicranum muehlenbeckii",NA,"Dicranaceae","Dicranum","Volume 27"
"2230",NA,"Dicranum ontariense",NA,"Dicranaceae","Dicranum","Volume 27"
"2231",NA,"Dicranum scoparium",NA,"Dicranaceae","Dicranum","Volume 27"
"2232",NA,"Dicranum spadiceum",NA,"Dicranaceae","Dicranum","Volume 27"
"2233",NA,"Dicranum spurium",NA,"Dicranaceae","Dicranum","Volume 27"
"2234",NA,"Dicranum undulatum",NA,"Dicranaceae","Dicranum","Volume 27"
"2235",NA,"Dicranum viride",NA,"Dicranaceae","Dicranum","Volume 27"
"2236",NA,"Didymodon fallax",NA,"Pottiaceae","Didymodon","Volume 27"
"2237",NA,"Didymodon ferrugineus",NA,"Pottiaceae","Didymodon","Volume 27"
"2238",NA,"Didymodon rigidulus var. gracilis",NA,"Pottiaceae","Didymodon rigidulus","Volume 27"
"2239",NA,"Didymodon rigidulus var. rigidulus",NA,"Pottiaceae","Didymodon rigidulus","Volume 27"
"2240",NA,"Didymodon tophaceus",NA,"Pottiaceae","Didymodon","Volume 27"
"2241",NA,"Digitaria",NA,"Poaceae","Poaceae tribe Paniceae","Volume 25"
"2242",NA,"Digitaria bakeri",NA,"Poaceae","Digitaria","Volume 25"
"2243",NA,"Digitaria cognata",NA,"Poaceae","Digitaria","Volume 25"
"2244",NA,"Digitaria didactyla",NA,"Poaceae","Digitaria","Volume 25"
"2245",NA,"Digitaria ischaemum",NA,"Poaceae","Digitaria","Volume 25"
"2246",NA,"Digitaria leucocoma",NA,"Poaceae","Digitaria","Volume 25"
"2247",NA,"Digitaria sanguinalis",NA,"Poaceae","Digitaria","Volume 25"
"2248",NA,"Digitaria tomentosa",NA,"Poaceae","Digitaria","Volume 25"
"2249",NA,"Dioscorea villosa",NA,"Dioscoreaceae","Dioscorea","Volume 26"
"2250",NA,"Diphasiastrum complanatum",NA,"Lycopodiaceae","Diphasiastrum","Volume 2"
"2251",NA,"Diphasiastrum digitatum",NA,"Lycopodiaceae","Diphasiastrum","Volume 2"
"2252",NA,"Diphasiastrum sitchense",NA,"Lycopodiaceae","Diphasiastrum","Volume 2"
"2253",NA,"Diphasiastrum tristachyum",NA,"Lycopodiaceae","Diphasiastrum","Volume 2"
