Taxon name
Dupontia
Dupontia fisheri
Eleocharis acicularis
Elodium blandowii
Elymus
Elymus alaskanus
Elymus alaskanus subsp. alaskanus
Elymus alaskanus subsp. hyperarcticus
Elymus ciliaris
Elymus curvatus
Elymus dahuricus
Elymus pringlei
Elymus repens
Elymus sierrae
Elymus tsukushiensis
Elymus violaceus
Elymus ×pinalenoensis
Empetrum nigrum
Encalypta alpina
Encalypta brevicollis
Encalypta procera
Encalypta rhaptocarpa
Erigeron acris var. kamtschaticus
Erigeron compositus
Erigeron humilis
Erigeron hyssopifolius
Erigeron uniflorus var. eriocephalus
Erigeron yukonensis
Eriophorum angustifolium subsp. angustifolium
Eriophorum angustifolium subsp. triste
Eriophorum brachyantherum
Eriophorum callitrix
Eriophorum chamissonis
Eriophorum gracile
Eriophorum scheuchzeri
Eriophorum vaginatum
Erysimum cheiranthoides
Erysimum pallasii
Euphrasia disjuncta
Euphrasia wettsteinii
Eurhynchiastrum pulchellum var. pulchellum
Eurybia sibirica
Eutrema edwardsii
Festuca
Festuca amethystina
Festuca baffinensis
Festuca brachyphylla
Festuca brachyphylla subsp. brachyphylla
Festuca brachyphylla subsp. breviculmis
Festuca brachyphylla subsp. coloradensis
Festuca edlundiae
Festuca frederikseniae
Festuca glauca
Festuca hyperborea
Festuca prolifera
Festuca roemeri
Festuca rubra
Festuca rubra subsp. arctica
Festuca rubra subsp. arenaria
Festuca rubra subsp. aucta
Festuca rubra subsp. commutata
Festuca rubra subsp. fallax
Festuca rubra subsp. mediana
Festuca rubra subsp. pruinosa
Festuca rubra subsp. rubra
Festuca rubra subsp. secunda
Festuca rubra subsp. vallicola
Festuca sect. Breviaristatae
Festuca sect. Elmera
Festuca sect. Festuca
Festuca sect. Subulatae
Festuca sect. Subuliflorae
Festuca sect. Texanae
Festuca subg. Festuca
Festuca subg. Montanae
Festuca subg. Obtusae
Festuca subg. Subulatae
Festuca trachyphylla
Festuca viviparoidea
Festuca viviparoidea subsp. krajinae
Festuca viviparoidea subsp. viviparoidea
Fissidens adianthoides
Fissidens arcticus
Fissidens bryoides
Fissidens osmundioides
Fragaria virginiana subsp. glauca
Funaria arctica
Funaria hygrometrica var. hygrometrica
Funaria microstoma
Funaria polaris
Gemmabryum caespiticium
Geocaulon lividum
Geum macrophyllum var. perincisum
Geum rivale
Geum rossii
Grimmia anodon
Grimmia elongata
Grimmia funalis
Grimmia longirostris
Grimmia montana
Grimmia plagiopodia
Gymnostomum aeruginosum
Haplodontium macrocarpum
Harrimanella hypnoides
Hedwigia ciliata
Hennediella heimii var. arctica
Hennediella heimii var. heimii
Hilpertia velenovskyi
Hippuris lanceolata
Hippuris tetraphylla
Hippuris vulgaris
Honckenya peploides subsp. diffusa
Hordeum
Hordeum jubatum
Hordeum jubatum subsp. intermedium
Hordeum jubatum subsp. jubatum
Hordeum secalinum
Hulteniella integrifolia
Hygroamblystegium varium var. varium
Hygrohypnum alpestre
Hygrohypnum cochleariifolium
Hygrohypnum luridum
Hygrohypnum polare
Hylocomium splendens
Hymenostylium recurvirostrum var. recurvirostrum
Hypnum bambergeri
Hypnum cupressiforme var. cupressiforme
Hypnum hamulosum
Hypnum holmenii
Hypnum lindbergii
Hypnum plicatulum
Hypnum pratense
Hypnum procerrimum
Hypnum recurvatum
Hypnum revolutum var. revolutum
Hypnum subimponens
Hypnum vaucheri
Isopterygiopsis alpicola
Isopterygiopsis pulchella
Juncus arcticus var. alaskanus
Juncus arcticus var. balticus
Juncus biglumis
Juncus castaneus
Juncus filiformis
Juncus stygius var. americanus
Juncus triglumis var. albescens
Juncus triglumis var. triglumis
Kalmia procumbens
Kobresia myosuroides
Kobresia sibirica
Kobresia simpliciuscula
Koenigia islandica
Lemna trisulca
Leptobryum pyriforme
Leptodictyum riparium
Leymus
Leymus californicus
Leymus mollis
Leymus mollis subsp. mollis
Leymus mollis subsp. villosissimus
Leymus salina
Leymus salina subsp. mojavensis
Leymus salina subsp. salina
Leymus salina subsp. salmonis
Limosella aquatica
Linum lewisii var. lepagei
Linum lewisii var. lewisii
Listera borealis
Luzula arctica
Luzula confusa
Luzula groenlandica
Luzula multiflora subsp. frigida
Luzula parviflora
Luzula spicata
Luzula wahlenbergii
Maianthemum trifolium
Meesia longiseta
Meesia triquetra
Meesia uliginosa
Micranthes foliolosa
Micranthes hieraciifolia
Micranthes nelsoniana var. porsildiana
Micranthes nivalis
Micranthes stellaris
Micranthes tenuis
Mielichhoferia elongata
Minuartia biflora
Minuartia dawsonensis
Minuartia groenlandica
Minuartia rossii
Minuartia rubella
Minuartia stricta
Mitella nuda
Mnium arizonicum
Mnium blyttii
Mnium lycopodioides
Mnium marginatum
Mnium thomsonii
Moehringia lateriflora
Molendoa sendtneriana
Montia fontana
Myurella julacea
Myurella sibirica
Myurella tenerrima
Niphotrichum canescens subsp. latifolium
Niphotrichum ericoides
Niphotrichum panschii
Oligotrichum falcatum
Oncophorus virens
Oncophorus wahlenbergii
Orthilia secunda
Orthothecium acuminatum
Orthothecium chryseum var. chryseum
Orthothecium chryseum var. cochleariifolium
Orthothecium intricatum
Orthothecium rufescens
Orthothecium strictum
Orthotrichum pallens var. pallens
Orthotrichum pellucidum
Orthotrichum pylaisii
Orthotrichum rupestre
Orthotrichum speciosum
Oxyria digyna
Packera hyperborealis
Packera indecora
Packera paupercula
Paludella squarrosa
Parnassia kotzebuei
Parnassia palustris
Parnassia parviflora
Parrya arctica
Pedicularis capitata
Pedicularis flammea
Pedicularis groenlandica
Pedicularis hirsuta
Pedicularis labradorica
Pedicularis lanata subsp. lanata
Pedicularis langsdorffii subsp. arctica
Pedicularis lapponica
Pedicularis parviflora
Pedicularis sudetica subsp. albolabiata
Pedicularis sudetica subsp. arctoeuropaea
Pedicularis sudetica subsp. interior
Petasites frigidus var. frigidus
Petasites frigidus var. palmatus
Petasites frigidus var. sagittatus
Philonotis fontana var. fontana
Philonotis fontana var. pumila
Phippsia
Phippsia algida
Phyllodoce caerulea
Physaria arctica
Plagiobryum demissum
Plagiobryum zieri
Plagiopus oederianus
Plagiothecium denticulatum
Plagiothecium laetum
Plantago canescens
Plantago maritima
Platanthera obtusata
Platydictya jungermannioides
Pleuropogon
Pleuropogon sabinei
Pleurozium schreberi
Poa
Poa abbreviata
Poa abbreviata subsp. abbreviata
Poa abbreviata subsp. marshii
Poa abbreviata subsp. pattersonii
Poa alpina
Poa alpina subsp. alpina
Poa alpina subsp. vivipara
Poa arctica
Poa arctica subsp. aperta
Poa arctica subsp. arctica
Poa arctica subsp. caespitans
Poa arctica subsp. grayana
Poa arctica subsp. lanata
Poa autumnalis
Poa diaboli
Poa glauca
Poa glauca subsp. glauca
Poa glauca subsp. rupicola
Poa glauca var. pekulnejensis
Poa hartzii
Poa hartzii subsp. alaskana
Poa hartzii subsp. hartzii
Poa hartzii subsp. vrangelica
Poa interior
Poa laxa
Poa laxa subsp. banffiana
Poa laxa subsp. fernaldiana
Poa pratensis
Poa pratensis subsp. agassizensis
Poa pratensis subsp. alpigena
Poa pratensis subsp. angustifolia
Poa pratensis subsp. colpodea
Poa pratensis subsp. irrigata
Poa pratensis subsp. pratensis
Poa sect. Abbreviatae
Poa sect. Alpinae
Poa sect. Arctopoa
Poa sect. Arenariae
Poa sect. Dioicopoa
Poa sect. Homalopoa
Poa sect. Madropoa
Poa sect. Micrantherae
Poa sect. Oreinos
Poa sect. Pandemos
Poa sect. Poa
Poa sect. Secundae
Poa sect. Stenopoa
Poa sect. Sylvestres
Poa sect. Tichopoa
Poa subg. Arctopoa
Poa subg. Poa
Poa sublanata
Poa subsect. Epiles
Poa subsect. Halophytae
Poa subsect. Madropoa
Poa subsect. Poa
Poa subsect. Secundae
Poa supina
Poa ×gaspensis
Pogonatum dentatum
Pogonatum urnigerum
Pohlia cruda
Pohlia crudoides
Pohlia drummondii
Pohlia filum
Pohlia nutans
Pohlia obtusifolia
Pohlia proligera
Pohlia wahlenbergii
Polygonum fowleri subsp. fowleri
Polygonum fowleri subsp. hudsonianum
Polygonum humifusum subsp. caurianum
Polytrichastrum alpinum var. alpinum
Polytrichastrum alpinum var. fragile
Polytrichastrum alpinum var. septentrionale
Polytrichastrum sexangulare var. sexangulare
Polytrichum hyperboreum
Polytrichum jensenii
Polytrichum juniperinum
Polytrichum piliferum
Polytrichum strictum
Polytrichum swartzii
Populus balsamifera
Potamogeton alpinus
Potamogeton gramineus
Potamogeton praelongus
Potamogeton pusillus subsp. tenuissimus
Potamogeton robbinsii
Potamogeton subsibiricus
Potentilla anserina subsp. groenlandica
Potentilla arenosa subsp. arenosa
Potentilla arenosa subsp. chamissonis
Potentilla biflora
Potentilla bimundorum
Potentilla crantzii
Potentilla hyparctica subsp. elatior
Potentilla hyparctica subsp. hyparctica
Potentilla litoralis
Potentilla nivea
Potentilla norvegica
Potentilla pedersenii
Potentilla pulchella
Potentilla subgorodkovii
Potentilla subvahliana
Potentilla tikhomirovii
Potentilla uschakovii
Potentilla vahliana
Potentilla vulcanicola
Primula egaliksensis
Primula mistassinica
Primula stricta
Pseudobryum cinclidioides
Pseudocalliergon angustifolium
Pseudocalliergon brevifolium
Pseudocalliergon trifarium
Pseudocalliergon turgescens
Pseudocrossidium obtusulum
Pseudoleskeella rupestris
Pseudoleskeella tectorum
Psilopilum cavifolium
Psilopilum laevigatum
Pterygoneurum lamellatum
Pterygoneurum ovatum
Ptychostomum acutiforme
Ptychostomum archangelicum
Ptychostomum bimum
Ptychostomum calophyllum
Ptychostomum cernuum
Ptychostomum creberrimum
Ptychostomum cryophilum
Ptychostomum cyclophyllum
Ptychostomum inclinatum
Ptychostomum knowltonii
Ptychostomum longisetum
Ptychostomum neodamense
Ptychostomum nitidulum
Ptychostomum pallens
Ptychostomum pallescens
Ptychostomum pendulum
Ptychostomum pseudotriquetrum
Ptychostomum rutilans
Ptychostomum salinum
Ptychostomum schleicheri
Ptychostomum weigelii
Ptychostomum wrightii
Puccinellia
Puccinellia andersonii
Puccinellia angustata
Puccinellia arctica
Puccinellia bruggemannii
Puccinellia nutkaensis
Puccinellia nuttalliana
Puccinellia phryganodes
Puccinellia pumila
Puccinellia tenella
Puccinellia vaginata
Puccinellia vahliana
Pylaisia polyantha
Pyrola asarifolia subsp. asarifolia
Pyrola chlorantha
Pyrola grandiflora
Pyrola minor
Racomitrium lanuginosum
Rhinanthus minor subsp. groenlandicus
Rhizomnium andrewsianum
Rhododendron groenlandicum
Rhododendron lapponicum
Rhododendron tomentosum
Rhytidium rugosum
Ribes glandulosum
Ribes triste
